1: credit：WindSeedClientNotify#7094
71700523: 拾取点{放大镜}
70710008: 拾取点
70710021: 拾取点
70710022: 拾取点
70710406: 维修点
71700525: 放置点
70710034: 观察点{拾取图标}
70710035: 观察点{拾取图标}
70710036: 观察点{拾取图标}
70710359: 观察点{拾取图标}
71700524: 搬运点
70700019: 调查点{拾取图标}
70710041: 调查点{拾取图标}
70710042: 调查点{拾取图标}
70710043: 调查点{拾取图标}
70710358: 调查点{拾取图标}
70710682: 调查点{放大镜}
70710023: 张望点{拾取图标}
70220042: 挖掘点{对话图标}
70710030: 洗净点{拾取图标}
70710069: 一朵冰雾花
70710081: 茶具{不可互动}
70710085: 上3根香
70710117: 制作食物的痕迹
70710118: 制作食物的痕迹
70710119: 制作食物的痕迹
70710151: 掉落物那个球
70710157: 不知道是什么{中间有+型}
70710158: 不知道是什么{中间有+型}
70710159: 不知道是什么{中间有+型}
70710177: 不知道是什么
70710178: 不知道是什么
70710179: 一个盘子？
70710181: 不知道是什么
70710182: 两个勾？
70710186: 某种植物
70710211: 小沙堆
70710230: 无字的告示牌
70710254: 火元素痕迹
70710255: 风元素痕迹
70710256: 雷元素痕迹
70710264: 一张桌椅
70710288: 一股妖气
70710394: 棱形会发光
70710395: 棱形会发粉红光
70710396: 棱形会发蓝光
70710407: 草丛
70710533: 一条光线{无法互动}
70710553: 未知{草地会秃}
70710559: 板凳
71700105: 木桶
70290071: 大炮{雷}
70290343: 开山炮{可以直接用}
70220107: 草炸药桶
70220108: 雷炸药桶
70220043: 冰炸药桶
70220072: 冰漂浮炸弹
70290308: 石炸药桶
70220005: 炸药桶
70950087: 水面漂浮炸药桶
70800105: 漂浮炸药桶
70220034: 炸药桶
70220035: 炸药桶
70220075: 炸药桶
42607005: 大爆炸{空袭}
70290533: 草元素的某种东西
70290534: 草元素的某种东西
70290535: 须弥寻宝罗盘特效
70500008: 蒙德寻宝罗盘特效
70500009: 璃月寻宝罗盘特效
70500031: 稻妻寻宝罗盘特效
70500003: 小道具【寻仙的美食家】
70500004: 口袋锚点
70500005: 捕风瓶
70500020: 质量参变仪
70800002: 消息图标？
70800058: 烟花小道具
70800017: 使用霄灯
70900379: 历史石板{test物件对话测试}
70290113: 惊菊小弟要找的那个球
70290046: 龙脊雪山那个解冻完冰块后的球
71700319: 一心净土
71700106: 达达乌帕那口大锅
70710575: 雪山碎石
70710576: 雪山碎石2
70710734: 层岩大石头{无法攀爬}
70710735: 层岩大石头{无法攀爬}
70710404: 稻妻解谜中的大水罩{跑出去才能看见}
70710742: 层岩大活动{太威罗盘小个的}
70350293: 秘境中可互动的墙{移动}
70710355: 椅子{可坐}
70710212: 丽莎找书任务中的{观察元素痕迹}
70710217: 查阅藏书目录{任务图标}
70710219: 龙脊雪山阿贝多的脚印
70710227: 龙脊雪山阿贝多的花
70710250: 阿贝多的星银矿石{57-58}
70710251: 阿贝多的星银矿石{57-58}
70710252: 阿贝多的星银矿石{57-58}
70710229: 雪山阿贝多的{实验用药剂}
70710231: 画作
70710304: 观察点
70710306: 眺望
70710265: 庆云顶那个解谜机关？
70210103: 吹尘埃任务{每日委托}
70710112: 采树叶{每日委托}
70710357: 查看神之眼的盒子{武斗会任务}
70290304: 层岩那个找地鼠的
70710080: 涤尘铃
71700099: 涤尘铃
70710156: 涤尘铃{无法互动}
70710581: 一斗传说任务中的红色大鬼兜虫
70710582: 一斗传说任务中的鬼兜虫{对手的}
70710583: 一斗传说任务中的鬼兜虫{最小}
70710134: 熬制香膏
70710082: 香膏（红）
70710083: 香膏（蓝）
70710084: 香膏（绿）
70710187: 上群玉阁的那个台阶
70710064: 七星灯{任务}
70710070: 七星灯{任务}{不可互动}
70710161: 要塞绿华池雕像里的那个会发光球
70710086: 一堆木板
70710087: 木板和绳索
70710088: 绳索
70710689: 观察脚印
70710690: 奇怪的痕迹
70710691: 紧实的泥土
70710692: 燃尽的火堆
70710717: 一枚果核
70710338: 放置兔兔伯爵
71700183: 观察蒲公英
70710191: 一个小屋子
70710301: 挂霄灯{05}{71700184}
70710302: 挂霄灯{05}{71700184}
70710269: 挂上霄灯{73}
70710270: 挂上霄灯{73}
70710294: 取得霄灯
70710295: 取得霄灯
70710299: 一股妖气
70710141: 特别甜的甜甜花
70710327: 新鲜的落落莓{56}
71700198: 新鲜的清心{璃月治嗓子那个委托}
70710196: 看起来很普通的甜甜花
70710152: 饱满的日落果
70710259: 聪子的货箱
70710260: 聪子的货箱
70710261: 聪子的货箱
71700289: 锈蚀的钥匙
70710461: 拿取盐
70710462: 拿取糖
70710463: 拿取胡椒
71700389: 播撒药水
71700364: （test）拿绳结
71700363: （test）拿袋子
71700317: （test）寝子信件 交互
70710479: （test）放烟花
70710486: （test）放上猫饭
70710487: （test）立起雕像
70710488: （test）雕琢
70710584: （test）找盐
70710585: （test）素材
71700316: 燃放烟花{稻妻每日委托}
70710678: 观察棋盘
70710681: 工地记录
70710497: 豪鼓祭典的大篝火
70710513: 挂置铃铛{37-38}
70710518: 回收忍剧
70710489: 回收拓本
70710303: 拾取材料
71700102: 拿取材料
70710307: 拾取木板
70710777: 拾取木板
70710308: 清点数量
71700047: 一车货
70710326: 搜寻镜片{39 53}
70710337: 拾取酒杯{60-70}
70710554: 调查货车
70300071: 巨大爪印
70300072: 断裂的牙
70300073: 粘有东西的毛发
70300074: 未知的血迹
70300052: 布置元素诱饵点
70700007: 元素的痕迹
70700008: 断裂的树枝
70700009: 碎掉的布片
70700016: 天空之琴
71700318: 取水
70710015: 调好的酒
70710028: 调查酒杯
70710031: 调整火力
70710032: 调整火力
70710033: 调整火力
70710447: 调大火力
70710448: 调小火力
71700095: 取水
71700094: 放置夜泊石
70710056: 查看降魔印
71700195: 取回土质样本
71700438: 暮夜剧团团长的手稿
70360101: 被雪覆盖的小宝
70310007: 损坏的小宝{坐着}
70710198: 损坏的小宝{身体后倾}
70710201: 损坏的小宝{身体前倾}
70710199: 损坏的小宝{坐着}
70710200: 损坏的小宝{倒下}
70710202: 小宝的脚印
70710055: 小个的遗迹猎者
70710707: 层岩戴因任务中压住净化装置的黑蛇骑士
70710741: 怪物身上的仙气？
70710740: 怪物身上的妖气？
44000302: 萍姥姥冲击波
70380008: 地脉树{打完副本领奖励的那个}
70340014: 地脉树
70590044: 键纹1{解锁选项}
70590045: 键纹2{解锁选项}
70590046: 键纹3{解锁选项}
70590047: 键纹4{解锁选项}
70590048: 键纹5{解锁选项}
70330041: 领取奖励{蓝色光点}
70330138: 打怪挑战
70330139: 打怪挑战
70330160: 打怪挑战{对话选项无字}
70350092: 打怪挑战
70800054: 打怪挑战
70360128: 挑战点
70800055: 挑战点
70350082: 打怪挑战
70350083: 限时挑战
70350093: 限时挑战
70350357: 限时挑战
70350457: 须弥的一个限时挑战
70350084: 射炸药桶挑战
70350094: 射炸药桶挑战
70350023: 地脉镇石
70350087: 地脉镇石
70310122: BOOS挑战开始
70360010: 秘境挑战开启点？
70360367: 秘境挑战开启点{无底座}
70330150: 一个活动的挑战
70350250: 浪船比赛开始挑战
70350458: 浪船比赛开始挑战
70360155: 未知的挑战{时间？}
70360156: 未知的挑战{回血？}
70360157: 未知的挑战{攻击？}
70360158: 未知的挑战
70380236: 2.8后期需多人挑战的活动挑战
70360149: 挑战洛蒂娅的愤怒
70360146: 幻影心流
70360152: 风花节挑战
70360153: 风花节挑战
70360160: 未知挑战{长的像A的字母}
70360161: 未知挑战{提瓦特文字}
70360162: 未知挑战{提瓦特文字}
70360272: 海岛挑战
70360313: 挑战魔花
70380233: 2.8迪卢克挑战开启点
70950081: 海祈岛附近水面上的气泡 压破+探索度
70900400: 稻妻的触摸剑柄
70900351: 未知{靠近可拉烟}
70217020: 须弥石头摩拉箱
70800102: 上锁的水钱箱{地面}di
70800060: 上锁的水钱箱
70211141: 装有绯红玉髓的普通宝箱
70211142: 装有绯红玉髓的普通宝箱{上锁类型}
70210118: 普通宝箱
70210063: 普通宝箱{岩封类型}
70210121: 精致宝箱
70210122: 精致宝箱{上锁类型}
70211143: 装有绯红玉髓的精致宝箱
70211144: 装有绯红玉髓的精致宝箱{上锁类型}
70210123: 珍贵宝箱
70210124: 珍贵宝箱{上锁类型}
70211145: 装有绯红玉髓的珍贵宝箱
70211146: 装有绯红玉髓的珍贵宝箱{上锁类型}
70210116: 华丽宝箱{上锁类型}
70210125: 华丽宝箱
70211147: 装有绯红玉髓的华丽宝箱
70211148: 装有绯红玉髓的华丽宝箱{上锁类型}
70211149: 玄月宝箱
70211150: 奇馈宝箱
70211151: 奇馈宝箱{上锁类型}
70217006: 藏宝图宝箱
70360004: 北风狼王挑战开启点
70710225: 地脉镇石{拾取图标且无字}
70210106: 地脉花
70210109: 地脉花{小个点的}
70210110: 地脉花
70380008: 地脉树
70360107: 红色的地脉
70210111: 龙之凝块{外形还是地脉花}
70210113: 不清楚是什么 英雄宝箱？
70217001: 飞天大御剑
70217002: 黑樱枪
70217003: 上锁的剑
70217004: 旅行剑
70217005: 宗室之花
70217015: 盟誓金爵
70217016: 昭武翎羽
70217017: 将帅兜鉴
70217018: 勋绩之花
70217019: 金铜时晷
70950006: 被锁定的光角
70950005: 跟随模式{光角}
70520001: 铁矿
70560002: 铁块{掉落}
70520002: 白铁矿
70560003: 白铁块{掉落}
70520003: 水晶矿
70560004: 水晶块{掉落}
70540031: 层岩水晶矿
70510003: 电气石1
70510005: 电气石2
70540007: 电气水晶{掉落}
70900237: 电气石{可互动？}
70330142: 渊海髓矿
70510012: 石珀
70510015: 老石
70290305: 流明晶石原矿
70520018: 夜泊石
70540017: 夜泊石{掉落}
70540032: 层岩夜泊石
70520019: 魔晶矿
70540030: 魔晶矿石{掉落}
70710480: 魔晶矿{任务用}
70590036: 紫晶矿
70590037: 紫晶块{掉落}
70520027: 晶化骨髓
70590025: 深赤之石
44000259: 深赤之石{无法消除}
44000209: 深赤之石{会跟随}
70590026: 龙血结晶{70590032}
70590027: 星银矿
70590028: 星银矿石{掉落}
70590030: 奇异的牙齿
70800005: 某种矿石
70290001: 苹果树树苗
70290002: 苹果树
70290012: 枫树
70380008: 地脉树
70290022: 围忍冬树的冰块
70290032: 忍冬之树{只能互动}
70290100: 稻妻那种雷树桩
70290101: 一样
70290366: 层岩蘑菇{充能互动}
70360323: 鹤观栖木
70360300: 枯萎的栖木
70290418: 须弥枯树
70290419: 一样
70290420: 有少许绿叶 靠近恢复能量？
70290511: 恒那兰那的梦之树{互动选项}
70290094: 稻妻神樱树{互动选项}
70330242: 一朵植物
70900294: 气球草
70360008: 气球草
70360014: 气球
70360076: 发光的气球草
70360078: 气球
70900307: 树桩上长小灯草
70950063: ？？？靠近有草环
70950065: 稻妻雷树
70220004: 炸弹花
70220055: 冰炸弹花
70220109: 草炸弹花
70900388: 雷炸弹花
70520016: 兽肉
70520017: 禽肉
70560001: 兽肉
70560005: 鱼肉
70560006: 冷鲜肉
70590009: 禽肉
70510013: 假甜甜花
70510014: 假薄荷
70510004: 小灯草
70520004: 蘑菇
70520005: 甜甜花
70520006: 胡萝卜
70520007: 白萝卜
70520008: 金鱼草
70520009: 薄荷
70520010: 小麦
70590010: 小麦
70520011: 卷心菜
70590022: 番茄
70590023: 土豆
70590024: 竹笋
70520012: 天原银莲{未实装}
70520013: 松茸
70590013: 嘟嘟莲
70520014: 胡萝卜
70520015: 白萝卜
70520020: 甜甜花
70520021: 松果
70520022: 蘑菇
70520023: 薄荷
70520024: 薄荷
70520025: 海灵芝
70520026: 堇瓜
70520028: 鬼兜虫
70520029: 海草
70520030: 血斛
70520031: 珊瑚珍珠
70520033: 鸣草
70520034: 绯樱绣球
70520035: 天云草实
70520037: 幽灯蔁
70520038: 星蔁
70540001: 树莓
70540003: 苹果
70900286: 大苹果{无法互动}
70540004: 鸟蛋
70540005: 松果
70540008: 绝云椒椒
70540009: 绝云椒椒2
70540010: 绝云椒椒3
70540012: 琉璃百合
70540013: 勾勾果
70540014: 莲蓬
70540015: 霓裳花
70540016: 霓裳花2
70540018: 塞西莉亚花
70540019: 风车菊
70540020: 慕风蘑菇
70540021: 日落果
70540022: 落落梅
70540023: 落落梅2
70540024: 落落梅3
70540025: 落落梅4
70540026: 琉璃袋
70540027: 马尾
70540028: 星螺
70540029: 清心
70540034: 树王圣体菇
70540035: 帕蒂沙兰
70540036: 香辛果
70540037: 香辛果根
70540038: 劫波莲
70540040: 墩墩桃
70540041: 墩墩桃根
70540042: 须弥蔷薇
70540043: 月莲
70540044: 月莲根
70540045: 毗波耶
70330221: 星蔁
70510002: 烈焰花
70510006: 烈焰花
70510007: 冰雾花
70510008: 水花{Test}
70510009: 蒲公英籽
70590003: 甜甜花 {有神瞳标记}
70360048: 庆云顶那个解谜机关
70800004: 璃月解谜{大屏障}
70710204: 璃月要站住的那个机关
70290114: 稻妻八酝岛{停雨的那个解密机关}
70290115: 转向机关{停雨的那个解密}
70950068: 继电石座
70950069: 继电石
70800200: 有{移动}互动的巨大正方体机关
70710400: 一个台座上的黄色正方形的东西
70710401: 貌似是某种解谜{和上面对应}{底座上黄字}
70710402: 貌似是某种解谜{和上面对应}{底座上蓝字}
70710403: 貌似是某种解谜{和上面对应}{底座上红字}
70330136: 继电石解谜
70330073: 稻妻雷方块解谜
70360178: 稻妻清籁岛中心解谜
70330112: 雷屏障中间的核心
70330097: 小雷屏障lv1{需要雷种子}
70330098: 小雷屏障lv2
70330099: 小雷屏障lv3
70330090: 大雷屏障lv1
70330094: 大雷屏障lv2
70330095: 大雷屏障lv3
70330074: 雷方块解谜
70330070: 一个雷圈
70310086: 稻妻踩石板解谜
70330092: 小狐狸
70330091: 大狐狸
70310059: 稻妻解谜地板
70310060: 稻妻解谜地板
70310061: 稻妻解谜地板
70310062: 稻妻解谜地板
70310063: 稻妻解谜地板
70310064: 稻妻解谜地板
70310065: 稻妻解谜地板
70310087: 稻妻解谜地板
70310088: 稻妻解谜地板
70310090: 鹤观迷雾石碑
70360167: 海祈岛解谜
70360168: 海祈岛解谜
70360187: 海祈岛解谜
70360188: 海祈岛解谜
70360292: 海祈岛解谜
70360293: 海祈岛解谜
70360294: 海祈岛解谜
70360295: 海祈岛解谜
70360296: 海祈岛解谜
70360297: 海祈岛解谜
70360092: 璃月那种可对话的底座
70360170: 解谜中的开关
70360180: 清籁岛那艘船上的解谜
70360181: 清籁岛那艘船上的解谜
70360182: 清籁岛那艘船上的解谜
70360183: 清籁岛那艘船上的解谜
70360179: 稻妻任务中那个地道门{有成就的那个}
70290170: 渊下宫墙{解密用}
70290183: 一个木制平台{有望不到边的锁链}
70290184: 一样{这个附带楼梯}
70290377: 未知
70290234: 渊下宫中心台座{台座下面会有屏障}
70290241: 正方形的大方块{我记得是用来推的}
70310070: 方块机关 无法使用
70310071: 方块机关 无法使用
70310072: 方块机关 无法使用
70360002: 方块机关 无法使用
70350318: 虚影方块机关 无法使用
70800167: 层岩方块机关
70310079: 机关烹饪之法任务中的右箭头机关
70220032: 风车
70220033: 风车
71700395: 新鲜的墩墩桃
71700396: 新鲜的香辛果
71700416: 废弃的凝成泥土
71700419: 幼嫩的蔷薇
71700452: ？？？
71700453: ？？？
71700457: 残破的纸片
71700458: 牧童与魔瓶的故事
71700459: 希鲁伊与希琳的故事·卷一
71700460: 希鲁伊与希琳的故事·卷二
71700461: 阿赫玛尔的故事
71700462: 遐叶论经·卷一
71700463: 遐叶论经·卷二
71700464: 遐叶论经·卷三
71700465: 浮槃歌卷·卷一
71700466: 浮槃歌卷·卷二
71700467: 浮槃歌卷·卷三
71700468: 灵光颂
77304043: 香辛果
77304044: 墩墩桃
77304045: 须弥蔷薇
77015008: 邀请点
77091001: 普通木门
77101053: 木门
77101054: 木门
77101057: 两扇大门
77101058: 一扇大门
77101059: 木门
77101060: 稻妻滑门
77103005: 烹饪炉
77103006: 烹饪炉{小}
77104001: 蒙德壁炉
77104015: 稻妻武士架
77104020: 狐狸玩具
77104021: 狸猫玩具{可互动}
77104022: 切换BGM用的
77112020: 来装邀约画像的
77115021: 烹饪炉
77108021: 莫娜秘境那个光球
70710829: 须弥光球
77108021: 蒙德灯{怎么和莫娜秘境里那个差不多}
77208018: 可触碰的灯{璃月}
77215056: 可触碰的琴弦{璃月}
77101053: 感应木门 77101054一样
77203002: 锻造台
77203006: 合成台
70500020: 质量参变仪
71700119: 大平台
77200035: 蒙德主宅
77200040: 璃月主宅
77200057: 稻妻主宅
77200098: 须弥主宅 拿稻妻房屋套模了
77200110: 稻妻樱花树
77200127: 须弥的家具
77204042: 须弥的邮箱？
77104022: 切BGM用的
77215055: 大篝火
77112020: 放邀约照片的
77307016: QQ人训练的木桩
77115026: 新家具：鱼缸
77115027: 新家具 类似火炬
77204097: 新家具 火炬
77215060: 疑似新家具
77215061: -71
77306090: -99
77306100: -113--貌似都:是叫组装雕刻
70290123: 雷球
70290124: 雷矿石
70290129: 雷球
70290130: 雷矿石
70290131: 雷球
70290132: 雷矿石
70290133: 雷球
70290134: 雷矿石
70290306: 流明石
70290499: 甜甜花
70300001: 未知
70300002: 未知
70310228: 未知{像一朵花}
70330129: 神秘的石板
70330195: 破损的石板
70330195: 203-209破损的石板
70510001: 未知
70510011: 草史莱姆花？
70540002: 未知
70540006: 未知
70540011: 某种植物的根
70900284: 一阵风锤你一下
70590001: 元素晶体
70590002: 元素果实
70590005: 元素晶尘
70590062: 无名
70900001: 无名
70900234: 无名
70900235: 无名
70900240: 石珀？但是没名
70950016: 无名{小地图有显示蓝圈}
70300006: 无效
40200001: 贼高的风场
70500005: 风场
70690027: 风场
70350333: 加速圈
40210007: 发着紫光的护盾
70310114: 武士头风属漩涡
70620005: 一颗球 刮大风 逃不出去有屏障 范围特别大
70900363: 风吹草动的环境特效{过会会消失}
70350258: 给浪船加速的
70500002: 向前投出一个球 啪 变成烹饪锅
70290572: 窝在球里的人{3.0}
70217007: 雪山密室插着的血葬的星银大剑
70220079: 制冷机？给怪加buff
70800163: 2.7大活动的那个罗盘
70800164: 这个是上面那个的指针
70800011: 光柱
42802004: 落雪
42602029: 大落雪{消失后隔一段时间复活}
42004008: 落雷
70330117: 落雷
70210008: 掉落的箱子
70216666: 华丽宝箱Test
70290276: 落石
70290277: 落石{默认往前落}(除非人物对着地面)
70310025: 落冰
70310026: 落冰{默认往前落}
70310027: 落冰砸至地面的状态
70310030: 落冰
70310031: 落冰{默认往前落}
70350021: 落冰{默认往前落}
70350059: 落冰{默认往前落}
70350060: 落冰{默认往前落}
70350078: 落冰{默认往前落}
70350079: 落冰{默认往前落}
70350126: 防御塔里塞落冰
71700202: 栓狼王的那个铁链
71700196: 凝聚的能量球
70710704: 深渊传送门
70710324: 漂浮的符文
70360342: 层岩的黑泥
70800087: 一个圈 掉里边会给围住
70800010: 深渊屏障？
70900340: 风种子
70330064: 雷种子
70350381: 雷种子
70330137: 虚像雷种子
70900380: 雷极
70290154: 雷极2
70350379: 雷极3
70310198: 草种子底座
70310199: 未启动的草种子底座
70330022: 岩种子
70330145: 岩种子发射台
70330146: 发射出去的岩种子
70290579: 草种子屏障lv1
70330246: 草种子屏障lv2
70330247: 草种子屏障lv3
70330248: 草种子屏障lv4
70330249: 草种子屏障lv5
70290095: 雷种子屏障lv1
70290104: 雷种子屏障lv2
70290105: 雷种子屏障lv3
70330112: 雷屏障中间的核心
70330097: 小雷屏障lv1{需要雷种子}
70330098: 小雷屏障lv2
70330099: 小雷屏障lv3
70330090: 大雷屏障lv1
70330094: 大雷屏障lv2
70330095: 大雷屏障lv3
70950004: 移动速度提升
70690014: 移动速度减慢
70690002: 躺着的风场
70350247: 移动速度提升的球
70710205: 活动陨石核心
70710642: 群玉阁动力核心
70330021: 进得去出不来的护盾
70360109: 冰护盾
70360106: 大型护盾{箭无法射入}
70290118: 稻妻雷护盾
70290497: 草护盾{很小}
42301001: 愚人众岩盾
70350353: 屏障{焯 给关里边了}
70800004: 超大屏障{璃月解谜里的那个}
70800008: 大屏障
70800007: 一个蓝色的环
70330046: 机关奇谭开活动的那个
70350099: 水塔
70350112: 水塔lv2
70350117: 水塔lv3
70350100: 火塔
70350113: 火塔lv2
70350118: 火塔lv3
70350101: 冰塔
70350114: 冰塔lv2
70350119: 冰塔lv3
70350126: ？？什么东西 冰防御塔里塞落冰
70350102: 风塔
70350115: 风塔lv2
70350120: 风塔lv3
70350103: 雷塔
70350116: 雷塔lv2
70350121: 雷塔lv3
70350108: 弩塔
70350143: 弩塔lv2
70350144: 弩塔lv3
70350111: 地雷
70350141: 地雷lv2
70350142: 地雷lv3
70500014: 回血点
41015001: 凯亚开大
41032002: 班尼特开大
41021002: 安倍E{兔兔伯爵}
41005003: 岩主E{荒星}
41005004: 岩主E{荒星}
41006013: 丽莎开大
41058008: 八重E
41058009: 八重大招
41058014: 八重劈雷
41023011: 香菱E
41023003: 香菱E结束后的辣椒
41023004: 香菱大招
41022014: 温迪E{长按风场}
41022002: 温迪E{长按}
41022003: 温迪E
41054002: 心海E水母
41030001: 钟离攻击第5段
41030002: 钟离E
41011001: 草主大招
41044001: 雷主大招
41038001: 阿贝多E
41062001: 埃洛伊普攻
41062007: 埃洛伊普攻蓄力 冰击中地面的效果
41062009: 埃洛伊E
41057003: 一斗E
41014004: 芭芭拉E
41024001: 北斗E
41034201: 重云E
41016001: 迪卢克大招
41039015: 迪奥娜大招
41051002: 优拉大招
41031008: 菲谢尔E
41037010: 甘雨蓄力箭
41037014: 甘雨E
41037015: 甘雨E爆炸
41037016: 甘雨大招
41037017: 甘雨大招落冰砸中地面效果
41055008: 五郎大招
41055007: 五郎大招旁边小狗
41047003: 万叶第5段攻击
41047004: 万叶大招
41047005: 万叶E落地时的风洞
41066001: 凌人E的幻影
41066002: 凌人大招
41042006: 刻晴大招
41042004: 刻晴E
41029001: 可莉E
41029008: 可莉大招
41056011: 九条蓄力箭{开E后}
41056012: 九条大招
41041005: 莫娜E
41041007: 莫娜E{持续存在}
41027000: 凝光E
41027007: 凝光大招
41035001: 七七E
41045006: 罗莎莉亚大招
41053003: 早柚大招
41063003: 申鹤大招
41043002: 砂糖E
41043003: 砂糖大招{持续存在}
41043005: 砂糖大招
41033009: 公子大招{弓}
41052001: 雷神E
42101023: 大伟丘{吼姆}
42103016: 雷qq图腾法师
42303002: 愚人众讨债人幻影{红}
42905210: 女士火龙卷{小}
42602039: 掣电树普攻{黄色}
42602037: 掣电树技能{落雷}
42602040: 掣电树普攻{紫色}
42690001: 草龙卷
42903001: 公子普攻{1阶段}
42903004: 公子普攻 天上射箭
42903203: 公子普攻
42903207: 公子普攻
42903208: 公子大招
42903006: 黄金屋空气墙
42903201: 黄金屋空气墙2
42903008: 大鲸鱼{卡在地下}
42903205: 大鲸鱼{有声音}
42903206: 公子普攻2阶段
42903214: 公子大招3
42906102: 雷神的{不知道是什么}
42906103: 雷神技能
42906104: 雷神一个大巴掌拍下来
42906105: 雷神斩击
42906106: 雷神斩击{大一点}
42906107: 雷神斩击{速度较慢}
42906108: 雷神四周投雷
42906117: 雷神2只手
42906118: 雷神四周投雷{多了2只手}
42906119: 周本雷神大招！
42906122: 雷神幻影
42906123: 雷神周本躲大招的盾
42906125: 一个雷戟下来
70310009: 野外烹饪锅
70220013: 木箱
70220014: 木桶
70220020: 草藤蔓 碰到会伤人
70220015: 方形捆草堆
70220016: 圆型捆草堆
44000252: 一根立着的木头 被藤蔓缠绕
44000251: 红衣稻草人
44000250: 蓝衣稻草人
70710111: 给狗喂饭的饭碗{可互动}
70360166: 稻妻每日委托{拿取物资}
70350261: 蹦蹦炸弹画像
70590070: 2.8莫娜秘境 抓未来那个球
70500036: 2.8活动{回声海螺}
70380274: 2.8活动{回声海螺小地图有标记}
70600064: 昔日记忆的碎片
70590061: 同泽之枪
70540033: 远眺之花{层岩任务}
70330143: 常世之荚
70300007: 看起来很好吃？{对就是这名}
70300008: yellow乐谱
70300009: 琴的文件包裹
70300010: 《风土人情志略》
70300011: 信件
70300012: 药剂
70300038: 浑浊的风龙泪滴
70300066: 来自深渊教团的信
70710020: 漂流瓶
70710068: 被风史莱姆吹拂的风车菊
70710267: 星银矿
70710292: 铁矿
70710293: 水晶矿
70710297: 红色勾勾果
70710298: 新鲜的绝云椒椒
70710390: 拾取点
70710391: 拾取点
70710530: 星银矿
70710551: 成色较好的星银矿
70710552: 成色较差的星银矿
70710579: 碎星铁矿
70710600: 摘采物
70710601: 摘采物
70710602: 摘采物
70710614: 堆放的堇瓜
70710641: 秘华石
70710809: 新鲜的月莲
71700150: 新鲜的清心
71700151: 新鲜的甜甜花
71700152: 新鲜的小灯草
71700153: 新鲜的塞西莉亚花
71700154: 新鲜的风车菊
71700209: 品质不错的蒲公英籽
71700210: 品质不错的风车菊
71700211: （test）一袋摩拉
71700212: 老旧的钥匙
71700213: 镇物
71700214: 镇物
71700215: 五百藏交给你的镇物
71700216: 卷形的镇物
71700217: 钥形的镇物
71700218: 古老的石板1
71700219: 古老的石板2
71700220: 古老的石板3
71700221: 古老的石板4
71700222: 有些残破的木板
71700223: 略有腐坏的木板
71700224: 牢房的钥匙
71700227: 牢笼钥匙
71700228: 金属钥匙
71700229: 《第七个武士》台本
71700230: 竹签
